pid,syear,sex,age,plb0031,plb0304,kids,partner,hinc
1,2006,1,18,1,0,0,1,43790.886669958585
1,2007,1,19,1,0,0,1,50947.60098612604
1,2008,1,20,0,0,1,1,40638.654497725634
1,2009,1,21,0,0,1,0,38723.867986743404
1,2010,1,22,1,0,2,1,40177.77461289586
1,2011,1,23,1,0,2,1,36577.65669117324
1,2012,1,24,1,0,2,1,41139.71681909324
1,2013,1,25,1,0,3,1,39722.7825261792
1,2014,1,26,1,0,3,0,23786.24307415926
1,2015,1,27,0,0,3,1,48955.3888924947
1,2016,1,28,1,0,3,1,36908.216395483556
1,2017,1,29,1,0,3,0,30729.83806459934
1,2018,1,30,1,0,3,1,38589.71470459393
1,2019,1,31,1,0,3,1,49607.14217559623
2,2005,2,25,1,0,0,1,46189.60333466945
2,2006,2,26,1,0,0,0,35694.866706696324
2,2007,2,27,0,0,0,0,44656.98235770431
2,2008,2,28,1,0,0,1,47101.98767674686
2,2009,2,29,1,0,0,0,27934.773683620137
2,2010,2,30,0,0,0,1,48797.17580627857
2,2011,2,31,0,0,0,1,31697.36098787614
2,2012,2,32,0,0,0,1,39393.57003977452
2,2013,2,33,1,0,1,1,36810.89287987839
2,2014,2,34,1,0,1,1,39513.08730020203
2,2015,2,35,0,0,1,0,35724.66837061196
2,2016,2,36,1,0,1,1,28039.569033485313
2,2017,2,37,0,0,1,0,44011.58665219844
2,2018,2,38,0,0,1,1,49265.49322345622
2,2019,2,39,1,0,1,1,37525.691628443376
3,2005,2,33,1,0,0,1,45385.0040221918
3,2006,2,34,1,0,0,0,36835.86838735765
3,2007,2,35,1,0,0,0,37686.90514824046
3,2008,2,36,1,0,0,0,39851.59356390688
3,2009,2,37,0,0,0,0,26611.963024078213
3,2010,2,38,1,0,0,1,43822.032795468214
3,2011,2,39,0,0,0,1,37927.770842088874
3,2012,2,40,0,0,0,1,33797.311152344446
3,2013,2,41,0,0,0,0,46185.12684711399
3,2014,2,42,1,5,0,1,30644.659121017376
3,2015,2,43,0,0,0,1,40277.505736725274
3,2016,2,44,0,0,0,0,37647.08502019804
3,2017,2,45,0,0,0,0,27780.101667423314
3,2018,2,46,0,0,0,0,41098.25215424687
3,2019,2,47,0,0,0,0,37579.847497075934
4,2005,1,27,1,0,0,1,44941.12676408916
4,2006,1,28,0,0,1,0,49736.56637584088
4,2007,1,29,0,0,1,0,41398.664095931774
4,2008,1,30,0,0,1,0,30265.16086112609
4,2009,1,31,0,5,1,0,39235.8460475294
4,2010,1,32,1,0,1,1,42625.048752346534
4,2011,1,33,0,0,1,1,39974.98012769809
4,2012,1,34,1,0,1,0,32370.757344282094
4,2013,1,35,0,0,1,1,34285.46443839615
4,2014,1,36,1,0,1,1,33066.55164373485
4,2015,1,37,0,0,1,0,30923.25682005625
4,2016,1,38,0,0,1,1,39283.938605344534
4,2017,1,39,1,0,1,1,35570.4853160269
4,2018,1,40,0,0,1,0,28499.229138545546
4,2019,1,41,0,0,1,1,40154.8293277046
5,2005,1,26,0,0,0,1,35168.76502012377
5,2006,1,27,0,5,1,1,26162.555472711898
5,2007,1,28,1,0,1,0,23794.774926191214
5,2008,1,29,0,0,1,1,27926.78213932128
5,2009,1,30,1,0,1,1,31723.242717715813
5,2010,1,31,0,0,1,1,43271.361338471586
5,2011,1,32,0,0,1,0,39635.60864771315
5,2012,1,33,1,0,1,1,28751.630271254064
5,2013,1,34,0,0,1,1,45296.85176813544
5,2014,1,35,0,0,1,0,36565.61460513078
5,2015,1,36,1,0,1,0,45229.18670806054
5,2016,1,37,0,0,1,0,32385.734663794647
5,2017,1,38,1,0,1,1,46729.63862721167
5,2018,1,39,0,0,1,1,33126.797403529985
5,2019,1,40,1,0,1,0,30833.479555469083
6,2009,2,18,0,0,0,1,24820.98414009074
6,2010,2,19,0,0,0,1,50244.32609341971
6,2011,2,20,1,0,0,0,36108.53787158112
6,2012,2,21,0,0,0,0,41660.78609028576
6,2013,2,22,0,0,0,1,47616.08875077356
6,2014,2,23,1,0,0,1,51620.40197969897
6,2015,2,24,0,0,0,1,25698.627104545747
6,2016,2,25,0,0,0,1,30235.439165745163
6,2017,2,26,0,5,0,0,31226.175601155184
6,2018,2,27,1,0,1,1,35779.03678061277
6,2019,2,28,0,0,1,1,32156.92485643791
7,2005,1,41,1,0,0,1,35095.24253673298
7,2006,1,42,1,0,0,0,44992.95853641724
7,2007,1,43,1,0,0,1,45026.76407411424
7,2008,1,44,1,0,0,1,33396.02242565991
7,2009,1,45,1,0,0,1,37428.91326677605
7,2010,1,46,1,0,0,0,36231.69355505342
7,2011,1,47,1,0,0,1,41856.399498861094
7,2012,1,48,0,0,0,1,34252.44622998051
7,2013,1,49,0,0,0,1,38292.42278630522
